Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
468;Erçal Fındık Otomotiv San. ve Tic. A.Ş.;2021;1.044.448.337,00;1.996.668.237,00;50.672.534,00;107.764.166,00;452.190.755,00;11.979.100,00;27.723.254,00;10.354,00;297;Samsun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.ercal.com.tr;Samsun;Tekkeköy;Cumhuriyet Mah. Cumhuriyet Cad. No.1
469;Halkalı Kağıt Karton San. ve Tic. A.Ş.;2021;1.041.365.609,00;1.044.508.747,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.halkalikagit.com.tr;İstanbul;Küçükçekmece;Merkez Mah. Dereboyu Cad. No. 72/1 Halkalı
470;Cevher Jant Sanayii A.Ş.;2021;1.039.373.383,00;1.045.376.061,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.cevher.com;İzmir;Gaziemir;Ege Serbest Bölgesi Akçay Cad. Kürşat Sok. No.10 
471;Şirikçiler Tekstil San. ve Tic. A.Ş.;2021;1.037.574.359,00;1.056.346.964,00;;;1.117.768.901,00;;;;441;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sirikciler.com;Kahramanmaraş;Onikişubat;Hacı Mustafa Mah. Gazi Mustafa Kemal Bulvarı No.130/A
472;Bekaert Kartepe Çelik Kord San. ve Tic. A.Ş.;2021;1.036.989.386,00;1.040.816.374,00;;321.348.948,00;846.101.524,00;;;34.712,00;482;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.bekaert.com;Kocaeli;Kartepe;Köseköy Mah. Ankara Cad. No.269/5
473;Atlasdenim Tekstil San. ve Tic. A.Ş.;2021;1.035.397.352,00;1.050.760.457,00;249.050.538,00;475.430.935,00;1.481.406.914,00;77.197.700,00;164.673.808,00;4.015,00;904;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.atlasdenim.com.tr;Adana;Sarıçam;Acıdere OSB Mah. Misis Cad. No.11
474;Roteks Tekstil İhracat San. ve Tic. A.Ş.;2021;1.034.776.168,00;1.078.549.651,00;;;;;;115.482,00;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.roteks.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10002 Sok. No.26
475;ISS Hazır Yemek Üretim ve Hizmet A.Ş.;2021;1.032.453.209,00;1.033.041.933,00;;;;;;;6807;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tr.issworld.com;İstanbul;Kağıthane;Çağlayan Mah. Karaağaç Sok. No.2
476;Kocaeli Lastik Sanayi A.Ş.;2021;1.032.289.859,00;1.032.304.478,00;401.264.082,00;149.622.236,00;752.636.530,00;52.835.827,00;244.117.418,00;74.419,00;765;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.kocaelilastik.com.tr;Kocaeli;Kartepe;Arslanbey Organize Sanayi Bölgesi 5. Sok. No.3
477;Bak Ambalaj San. ve Tic. A.Ş.;2021;1.031.726.678,00;1.051.708.986,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;51,41;0,00;48,59;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.bakambalaj.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10002 Sok. No.45
478;Tukaş Gıda San. ve Tic. A.Ş.;2021;1.029.141.412,00;1.071.622.947,00;317.938.633,00;748.982.982,00;1.540.734.303,00;193.461.345,00;260.260.645,00;44.200,00;1270;Ege Bölgesi Sanayi Odası;0,00;65,72;0,00;34,28;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tukas.com.tr;İzmir;Torbalı;Çaybaşı Mah. Aydın Cad. No.51
479;Çamlı Yem Besicilik San. ve Tic. A.Ş.;2021;1.024.763.291,00;1.049.022.566,00;44.788.018,00;58.713.156,00;762.732.824,00;71.985.356,00;127.243.005,00;33.683,00;446;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.camli.com.tr;İzmir;Bornova;Yunus Emre Mah. 7402/1 Sok. No.2 Pınarbaşı
480;Teksan Jeneratör Elektrik San. ve Tic. A.Ş.;2021;1.022.432.676,00;1.774.748.893,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.teksan.com;İstanbul;Sancaktepe;Yenidoğan Mah. Edebali Cad. No.12 
481;Coreal Alüminyum Kablo San. Tic. A.Ş.;2021;1.014.620.659,00;1.016.405.151,00;;;;;;;;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.coreal.com.tr;Kayseri;Melikgazi;Anbar Sb Mah. Kayseri Serbest Bölgesi 5. Cad. No.3 
482;Özerdem Mensucat San. ve Tic. A.Ş.;2021;1.013.002.433,00;1.087.221.635,00;388.381.042,00;474.947.816,00;1.424.111.959,00;164.901.908,00;246.589.654,00;16.062,00;1751;Uşak Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.aran.com.tr;Uşak;Merkez;Organize Sanayi Bölgesi 101. Cad. No.43/45
483;Ova Un Fabrikası A.Ş.;2021;1.010.815.188,00;1.010.815.188,00;;;;;;;216;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.ovaun.com.tr;Konya;Selçuklu;Aşağıpınarbaşı Mah. Ankara Cad. No.328
484;Sırmagrup İçecek San. ve Tic. A.Ş.;2021;1.009.878.910,00;1.198.793.304,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;İçeceklerin imalatı;11        ;İçki Sanayi (Alkollü ve Alkolsüz);313       ;www.sirmagrup.com;İstanbul;Ataşehir;Küçükbakkalköy Mah. Vedat Günyol Cad. Defne Sok. No.3/41424344
485;Ferro Döküm San. ve Dış Tic. A.Ş.;2021;1.008.625.553,00;1.017.131.520,00;;;;;;49.053,00;680;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.ferrodokum.com.tr;İstanbul;Eyüpsultan;Güzeltepe Mah. Fatih Sultan Mehmet Bulvarı No.17 
486;Erkunt Traktör Sanayii A.Ş.;2021;1.008.390.569,00;1.122.754.603,00;155.707.263,00;287.007.028,00;840.437.722,00;47.445.993,00;91.984.543,00;30.053,00;464;Ankara Sanayi Odası;0,00;0,00;100,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.erkunttraktor.com.tr;Ankara;Sincan;Organize Sanayi Bölgesi Batı Hun Cad. No.246 
487;Warmhaus Isıtma ve Soğutma Sistemleri San. Tic. A.Ş.;2021;1.007.335.849,00;1.037.537.385,00;;;;;;43.666,00;461;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.warmhaus.com.tr;Bursa;Nilüfer;Minareliçavuş OSB Mah. Selvi Cad. No.3
488;Silverline Endüstri ve Ticaret A.Ş.;2021;1.007.137.068,00;1.025.437.198,00;;54.724.697,00;472.952.946,00;;81.586.377,00;;1200;Merzifon Ticaret ve Sanayi Odası;0,00;53,45;0,00;46,55;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.silverline.com;Amasya;Merzifon;Kümbethatun OSB Mah. 1. Cad. No.2 /1
489;Erişler Yem San. ve Tic. A.Ş.;2021;995.403.241,00;1.046.853.302,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.erisyem.com.tr;İstanbul;Silivri;Ortaköy Merkez Mah. Kadıköy Bağları Cad. No.7/20
490;İşbir Sentetik Dokuma Sanayi A.Ş.;2021;994.985.897,00;1.100.433.044,00;341.789.513,00;715.384.727,00;1.441.520.125,00;153.868.461,00;299.158.942,00;55.504,00;260;Balıkesir Sanayi Odası;0,00;85,16;0,00;14,84;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.isbirbigbag.com;Balıkesir;Altıeylül;Çayırhisar Mah. Yeni İzmir Cad. No.29
491;Uğur Konfeksiyon San. ve Tic. A.Ş.;2021;993.611.336,00;1.009.841.608,00;16.732.619,00;355.911.272,00;1.155.473.084,00;33.644.956,00;155.405.027,00;75.950,00;2037;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.ugurkonfeksiyon.com;İstanbul;Bayrampaşa;Muratpaşa Mah. Esnaf Sok. No.12
492;Lidersan Sağlık ve Gıda Ürünleri A.Ş.;2021;993.427.975,00;1.545.399.546,00;;;;;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.lidersan.net;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83409 Nolu Cad. No.8
493;Tümosan Motor ve Traktör Sanayi A.Ş.;2021;992.253.801,00;1.112.671.596,00;210.667.454,00;349.394.406,00;1.212.973.211,00;111.555.727,00;165.451.296,00;3.147,00;415;Konya Sanayi Odası;0,00;71,31;0,00;28,69;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.tumosan.com.tr;İstanbul;Zeytinburnu;Maltepe Mah. Londra Asfaltı Cad. No.28/1
494;Legrand Elektrik Sanayi A.Ş.;2021;990.419.491,00;1.293.357.876,00;;446.311.380,00;629.201.373,00;;;101.687,00;522;Kocaeli Sanayi Odası;0,00;0,01;99,99;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.legrand.com.tr;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi İhsan Dede Cad. No.112
495;Park Cam San. ve Tic. A.Ş.;2021;990.186.138,00;1.023.853.021,00;;;1.609.441.097,00;;277.253.436,00;2.789,00;604;Bozüyük Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Cam ve Camdan Mamul Eşya Sanayi;362       ;www.parkcam.com.tr;Bilecik;Bozüyük;Bozüyük Organize Sanayi Bölgesi 3. Cad. No.8
496;Boskay Metal San. ve Tic. Ltd. Şti.;2021;989.559.911,00;1.201.355.860,00;;;;;;;;Karabük Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.boskaymetal.com.tr;Karabük;Merkez;Kurtuluş Mah. Yeni Sanayi Bölgesi No.52
497;Doruk Un Sanayi A.Ş.;2021;987.728.143,00;1.801.292.277,00;;;;;;64.798,00;99;Tekirdağ Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.dorukun.com.tr;İstanbul;Ümraniye;Şerifali Mah. Yükseliş Sok. No.9/3
498;Corbus Çelik San. ve Tic. A.Ş.;2021;985.307.022,00;1.000.897.636,00;;71.293.232,00;427.889.683,00;;;66.422,00;;Dörtyol Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.corbus.com.tr;Hatay;Payas;Karşıosb Mah. Demirciler Sok. No.1
499;Superlit Boru Sanayi A.Ş.;2021;983.635.709,00;1.011.981.749,00;;183.177.937,00;891.617.758,00;;;47.555,00;506;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.superlit.com;İstanbul;Şişli;Ergenekon Mah. Cumhuriyet Cad. No.155/3 Harbiye 
